"sei","rank","number"
"釜","7595位",289
"海瀬","7595位",289
"塩貝","7595位",289
"伊賀上","7595位",289
"有安","7610位",288
"友近","7610位",288
"野々宮","7610位",288
"野水","7610位",288
"美甘","7610位",288
"二階","7610位",288
"島口","7610位",288
"天白","7610位",288
"沢部","7610位",288
"造田","7610位",288
"雀","7610位",288
"床井","7610位",288
"桜川","7610位",288
"紺田","7610位",288
"高際","7610位",288
"郷家","7610位",288
"岸山","7610位",288
"舘岡","7610位",288
"間藤","7610位",288
"塩瀬","7610位",288
"遠島","7610位",288
"芦塚","7610位",288
"野部","7632位",287
"堀金","7632位",287
"板村","7632位",287
"二又","7632位",287
"二戸","7632位",287
"田幡","7632位",287
"塚脇","7632位",287
"世古口","7632位",287
"神鳥","7632位",287
"森保","7632位",287
"信川","7632位",287
"城後","7632位",287
"小角","7632位",287
"戎井","7632位",287
"栗須","7632位",287
"灰野","7632位",287
"河原井","7632位",287
"當間","7649位",286
"与那","7649位",286
"門林","7649位",286
"樋熊","7649位",286
"二本松","7649位",286
"奈良原","7649位",286
"宅見","7649位",286
"折出","7649位",286
"石畑","7649位",286
"水鳥","7649位",286
"鹿児島","7649位",286
"今富","7649位",286
"牛沢","7649位",286
"宮間","7649位",286
"皆本","7649位",286
"海老塚","7649位",286
"我喜屋","7649位",286
"越谷","7649位",286
"友納","7667位",285
"夜久","7667位",285
"椋田","7667位",285
"梅","7667位",285
"日当","7667位",285
"内木場","7667位",285
"竹久","7667位",285
"足助","7667位",285
"前薗","7667位",285
"上迫","7667位",285
"上道","7667位",285
"山河","7667位",285
"戸坂","7667位",285
"古牧","7667位",285
"幾島","7667位",285
"漢那","7667位",285
"下宮","7667位",285
"伊佐地","7667位",285
"名川","7685位",284
"比佐","7685位",284
"半場","7685位",284
"萩元","7685位",284
"鳥潟","7685位",284
"長壁","7685位",284
"竹間","7685位",284
"大城戸","7685位",284
"生江","7685位",284
"新部","7685位",284
"上保","7685位",284
"重留","7685位",284
"軸丸","7685位",284
"四ツ谷","7685位",284
"三倉","7685位",284
"三鬼","7685位",284
"稲崎","7685位",284
"簑原","7702位",283
"簾内","7702位",283
"末村","7702位",283
"畑佐","7702位",283
"日紫喜","7702位",283
"池渕","7702位",283
"但木","7702位",283
"初瀬","7702位",283
"紺屋","7702位",283
"高水","7702位",283
"関下","7702位",283
"磯上","7702位",283
"井尾","7702位",283
"伊志嶺","7702位",283
"伊","7702位",283
"眞鍋","7717位",282
"和多田","7717位",282
"槙尾","7717位",282
"北向","7717位",282
"平安山","7717位",282
"樋高","7717位",282
"猪川","7717位",282
"中宮","7717位",282
"谷戸","7717位",282
"打矢","7717位",282
"仁村","7717位",282
"上之園","7717位",282
"小市","7717位",282
"山盛","7717位",282
"久安","7717位",282
"河戸","7717位",282
"塩","7717位",282
"蜂須","7734位",281
"保","7734位",281
"平池","7734位",281
"入交","7734位",281
"奈良井","7734位",281
"沢田石","7734位",281
"正本","7734位",281
"水尻","7734位",281
"神辺","7734位",281
"神蔵","7734位",281
"森塚","7734位",281
"松生","7734位",281
"鹿谷","7734位",281
"妻木","7734位",281
"鍵和田","7734位",281
"穴原","7734位",281
"栗川","7734位",281
"郷野","7734位",281
"宮松","7734位",281
"永元","7734位",281
"伊勢崎","7734位",281
"和仁","7755位",280
"和山","7755位",280
"有永","7755位",280
"麦田","7755位",280
"猪井","7755位",280
"中満","7755位",280
"大空","7755位",280
"星合","7755位",280
"数藤","7755位",280
"庄内","7755位",280
"小田木","7755位",280
"小前","7755位",280
"柴木","7755位",280
"光延","7755位",280
"逆瀬川","7755位",280
"間々田","7755位",280
"角掛","7755位",280
"羽島","7755位",280
"磯和","7755位",280
"野寄","7774位",279
"楓","7774位",279
"半澤","7774位",279
"白上","7774位",279
"日和佐","7774位",279
"朝香","7774位",279
"池西","7774位",279
"真殿","7774位",279
"森澤","7774位",279
"上埜","7774位",279
"小太刀","7774位",279
"守川","7774位",279
"四井","7774位",279
"幸島","7774位",279
"曲田","7774位",279
"魚田","7774位",279
"宮根","7774位",279
"吉内","7774位",279
"舘林","7774位",279
"下方","7774位",279
"粟国","7794位",278
"安喰","7794位",278
"恵美","7794位",278
"月山","7794位",278
"古角","7794位",278
"洪","7794位",278
"谷古宇","7794位",278
"北添","7794位",278
"木間","7794位",278
"澤木","7803位",277
"扛","7803位",277
"養田","7803位",277
"網田","7803位",277
"北市","7803位",277
"福徳","7803位",277
"沢目","7803位",277
"村主","7803位",277
"出石","7803位",277
"時津","7803位",277
"戸根","7803位",277
"栗沢","7803位",277
"近江谷","7803位",277
"影浦","7803位",277
"卯野","7803位",277
"稲塚","7803位",277
"立入","7819位",276
"幕内","7819位",276
"北城","7819位",276
"福泉","7819位",276
"富久","7819位",276
"追立","7819位",276
"沢原","7819位",276
"西門","7819位",276
"小脇","7819位",276
"嵯峨山","7819位",276
"郭","7819位",276
"角崎","7819位",276
"河手","7819位",276
"宇野沢","7819位",276
"粟生","7819位",276
"本地","7834位",275
"伏谷","7834位",275
"赤谷","7834位",275
"積","7834位",275
"杉渕","7834位",275
"諸江","7834位",275
"祝迫","7834位",275
"枝元","7834位",275
"山吉","7834位",275
"三成","7834位",275
"好田","7834位",275
"玉造","7834位",275
"奥浜","7834位",275
"永広","7834位",275
"友重","7848位",274
"野々上","7848位",274
"槙島","7848位",274
"保苅","7848位",274
"渡真利","7848位",274
"渡久山","7848位",274
"猪上","7848位",274
"沢入","7848位",274
"川江","7848位",274
"石角","7848位",274
"青鹿","7848位",274
"上前","7848位",274
"阪中","7848位",274
"荒内","7848位",274
"荒屋","7848位",274
"月村","7848位",274
"宮丸","7848位",274
"吉福","7848位",274
"斧","7866位",273
"貞松","7866位",273
"大須","7866位",273
"村部","7866位",273
"船島","7866位",273
"水","7866位",273
"神立","7866位",273
"小網","7866位",273
"秋","7866位",273
"広浜","7866位",273
"金岩","7866位",273
"鷲塚","7877位",272
"薬","7877位",272
"毛内","7877位",272
"明野","7877位",272
"満","7877位",272
"武士","7877位",272
"富家","7877位",272
"播摩","7877位",272
"長渡","7877位",272
"鷹觜","7877位",272
"多和","7877位",272
"小森田","7877位",272
"三鍋","7877位",272
"嵯峨根","7877位",272
"佐沢","7877位",272
"高津戸","7877位",272
"向中野","7877位",272
"兼光","7877位",272
"隈","7877位",272
"各","7877位",272
"梁田","7897位",271
"薮中","7897位",271
"木名瀬","7897位",271
"平生","7897位",271
"浜道","7897位",271
"飯吉","7897位",271
"八重尾","7897位",271
"津端","7897位",271
"竹生","7897位",271
"大湾","7897位",271
"草壁","7897位",271
"川嵜","7897位",271
"瀬能","7897位",271
"神宮寺","7897位",271
"城尾","7897位",271
"小佐井","7897位",271
"芝池","7897位",271
"最所","7897位",271
"佐々本","7897位",271
"近石","7897位",271
"久武","7897位",271
"掛札","7897位",271
"夏田","7897位",271
"羽下","7897位",271
"和合","7921位",270
"冨松","7921位",270
"飯星","7921位",270
"二渡","7921位",270
"嶋川","7921位",270
"登尾","7921位",270
"天願","7921位",270
"村社","7921位",270
"船原","7921位",270
"星屋","7921位",270
"樹","7921位",270
"手束","7921位",270
"持留","7921位",270
"鷺坂","7921位",270
"今市","7921位",270
"国米","7921位",270
"幸松","7921位",270
"兼山","7921位",270
"吉家","7921位",270
"儀保","7921位",270
"我孫子","7921位",270
"歌代","7921位",270
"益川","7921位",270
"林野","7944位",269
"梁井","7944位",269
"大湯","7944位",269
"赤須","7944位",269
"榛沢","7944位",269
"松栄","7944位",269
"三阪","7944位",269
"館林","7944位",269
"塩地","7944位",269
"安瀬","7944位",269
"阿万","7944位",269
"簑島","7955位",268
"鈴置","7955位",268
"来海","7955位",268
"有地","7955位",268
"嶋倉","7955位",268
"登山","7955位",268
"大古","7955位",268
"小峠","7955位",268
"小仲","7955位",268
"勝倉","7955位",268
"才川","7955位",268
"砂野","7955位",268
"国近","7955位",268
"関水","7955位",268
"栢木","7955位",268
"梶木","7955位",268
"仮谷","7955位",268
"奥岡","7955位",268
"安山","7955位",268
"毛受","7974位",267
"本原","7974位",267
"普天間","7974位",267
"日名子","7974位",267
"道中","7974位",267
"藤池","7974位",267
"渡来","7974位",267
"倉津","7974位",267
"説田","7974位",267
"上釜","7974位",267
"篠島","7974位",267
"鹿取","7974位",267
"阪部","7974位",267
"古幡","7974位",267
"古田土","7974位",267
"隅野","7974位",267
"葛本","7974位",267
"下迫","7974位",267
"烏野","7974位",267
"涌田","7993位",266
"茂","7993位",266
"舞田","7993位",266
"田阪","7993位",266
"筑井","7993位",266
"大曽根","7993位",266
"澄田","7993位",266
"水澤","7993位",266
"須本","7993位",266
"仁部","7993位",266
"新居田","7993位",266
"上居","7993位",266
"春","7993位",266
"出射","7993位",266
"公平","7993位",266
"五百川","7993位",266
"金枝","7993位",266
"飴谷","7993位",266
"有友","8011位",265
"有藤","8011位",265
"木地","8011位",265
"八束","8011位",265
"池嶋","8011位",265
"倉品","8011位",265
"先田","8011位",265
"是松","8011位",265
"水梨","8011位",265
"小番","8011位",265
"橋崎","8011位",265
"巌","8011位",265
"下門","8011位",265
"一森","8011位",265
"和光","8025位",264
"鈴山","8025位",264
"又野","8025位",264
"貞森","8025位",264
"珍田","8025位",264
"長谷井","8025位",264
"大櫛","8025位",264
"草山","8025位",264
"西依","8025位",264
"清武","8025位",264
"上畠","8025位",264
"三松","8025位",264
"後迫","8025位",264
"玉崎","8025位",264
"角間","8025位",264
"翁","8025位",264
"奥宮","8025位",264
"安次富","8025位",264
"矢守","8043位",263
"名塚","8043位",263
"盆子原","8043位",263
"福安","8043位",263
"湯瀬","8043位",263
"長柄","8043位",263
"達","8043位",263
"大広","8043位",263
"相庭","8043位",263
"政所","8043位",263
"杉町","8043位",263
"吹越","8043位",263
"神取","8043位",263
"新江","8043位",263
"小濱","8043位",263
"小県","8043位",263
"市成","8043位",263
"弘津","8043位",263
"鯉江","8043位",263
"窪木","8043位",263
"紀藤","8043位",263
"荻堂","8043位",263
"永浦","8043位",263
"一倉","8043位",263
"安座間","8043位",263
"老沼","8068位",262
"林谷","8068位",262
"野竹","8068位",262
"俵積田","8068位",262
"道岡","8068位",262
"程塚","8068位",262
"蔦谷","8068位",262
"長迫","8068位",262
"仲嶋","8068位",262
"茶園","8068位",262
"大鋸","8068位",262
"川真田","8068位",262
"崎","8068位",262
"堺谷","8068位",262
"戸ケ崎","8068位",262
"慶田","8068位",262
"屋嘉比","8068位",262
"浦瀬","8068位",262
"安留","8068位",262
"野場","8087位",261
"豊野","8087位",261
"淵野","8087位",261
"飯浜","8087位",261
"長石","8087位",261
"川原崎","8087位",261
"石中","8087位",261
"植島","8087位",261
"譲原","8087位",261
"山吹","8087位",261
"高頭","8087位",261
"原賀","8087位",261
"見山","8087位",261
"菊地原","8087位",261
"韓","8087位",261
"栢野","8087位",261
"海道","8087位",261
"伊谷","8087位",261
"堀中","8105位",260
"宝満","8105位",260
"浜出","8105位",260
"馬場園","8105位",260
"池岡","8105位",260
"沢江","8105位",260
"宅島","8105位",260
"大歳","8105位",260
"西見","8105位",260
"正","8105位",260
"栖原","8105位",260
"常深","8105位",260
"宿里","8105位",260
"秋川","8105位",260
"汐崎","8105位",260
"市坪","8105位",260
"四条","8105位",260
"讃井","8105位",260
"黒","8105位",260
"甲地","8105位",260
"江渕","8105位",260
"後村","8105位",260
"外丸","8105位",260
"音羽","8105位",260
"塩浜","8105位",260
"羽部","8105位",260
"井辺","8105位",260
"阿見","8105位",260
"万野","8133位",259
"保延","8133位",259
"福与","8133位",259
"萩山","8133位",259
"堂上","8133位",259
"土志田","8133位",259
"登川","8133位",259
"中館","8133位",259
"三明","8133位",259
"綱木","8133位",259
"鍵田","8133位",259
"許","8133位",259
"宮廻","8133位",259
"久保園","8133位",259
"嘉瀬","8133位",259
"嘉戸","8133位",259
"下森","8133位",259
"雲井","8133位",259
"井料","8133位",259
"礒谷","8152位",258
"林口","8152位",258
"流石","8152位",258
"油野","8152位",258
"麻植","8152位",258
"片石","8152位",258
"田母神","8152位",258
"竹馬","8152位",258
"新穂","8152位",258
"小芝","8152位",258
"秀","8152位",258
"市塚","8152位",258
"三箇","8152位",258
"甲山","8152位",258
"江波","8152位",258
"兼井","8152位",258
"金巻","8152位",258
"近間","8152位",258
"兜森","8152位",258
"荻窪","8152位",258
"横岡","8152位",258
"押部","8152位",258
"宇治川","8152位",258
"安尾","8152位",258
"里山","8176位",257
"野溝","8176位",257
"堀正","8176位",257
"峯本","8176位",257
"保川","8176位",257
"並松","8176位",257
"浜内","8176位",257
"尾添","8176位",257
"檀原","8176位",257
"多","8176位",257
"倉山","8176位",257
"森宗","8176位",257
"上部","8176位",257
"松友","8176位",257
"重成","8176位",257
"蒲沢","8176位",257
"梶ケ谷","8176位",257
"貝谷","8176位",257
"河岡","8176位",257
"宇治野","8176位",257
"保母","8196位",256
"楳田","8196位",256
"内池","8196位",256
"徳広","8196位",256
"田方","8196位",256
"張間","8196位",256
"新矢","8196位",256
"織原","8196位",256
"上瀬","8196位",256
"照内","8196位",256
"若竹","8196位",256
"三保","8196位",256
"笹嶋","8196位",256
"阪元","8196位",256
"権代","8196位",256
"夏川","8196位",256
"安徳","8196位",256
"粟根","8196位",256
"芦名","8196位",256
"縣","8215位",255
"矢板","8215位",255
"野々部","8215位",255
"槙山","8215位",255
"別井","8215位",255
"白髪","8215位",255
"豆田","8215位",255
"泰地","8215位",255
"川喜田","8215位",255
"糸魚川","8215位",255
"黒津","8215位",255
"荒畑","8215位",255
"胡桃沢","8215位",255
"権","8215位",255
"海川","8215位",255
"華","8215位",255
"愛川","8215位",255
"明賀","8232位",254
"峰崎","8232位",254
"福室","8232位",254
"巴山","8232位",254
"東園","8232位",254
"鳥田","8232位",254
"丹田","8232位",254
"真","8232位",254
"志鎌","8232位",254
"山津","8232位",254
"原中","8232位",254
"岸良","8232位",254
"笠嶋","8232位",254
"掛田","8232位",254
"柿山","8232位",254
"浦郷","8232位",254
"末宗","8248位",253
"峯山","8248位",253
"飛鳥","8248位",253
"板持","8248位",253
"椎","8248位",253
"大郷","8248位",253
"船生","8248位",253
"西津","8248位",253
"上城","8248位",253
"小紫","8248位",253
"七","8248位",253
"坂之上","8248位",253
"根立","8248位",253
"高力","8248位",253
"高子","8248位",253
"桑谷","8248位",253
"吉峰","8248位",253
"羽地","8248位",253
"利田","8266位",252
"門岡","8266位",252
"満井","8266位",252
"能沢","8266位",252
"島尾","8266位",252
"天坂","8266位",252
"朝永","8266位",252
"達川","8266位",252
"大芦","8266位",252
"西峯","8266位",252
"盛川","8266位",252
"沼畑","8266位",252
"小名木","8266位",252
"出戸","8266位",252
"四倉","8266位",252
"五郎丸","8266位",252
"君和田","8266位",252
"間渕","8266位",252
"釜崎","8266位",252
"奥迫","8266位",252
"堀下","8286位",251
"房野","8286位",251
"保崎","8286位",251
"畠野","8286位",251
"馬見塚","8286位",251
"田野井","8286位",251
"中畠","8286位",251
"谷越","8286位",251
"霜出","8286位",251
"折野","8286位",251
"折尾","8286位",251
"税田","8286位",251
"種本","8286位",251
"若江","8286位",251
"戸津","8286位",251
"古戸","8286位",251
"宮副","8286位",251
"覚張","8286位",251
"井福","8286位",251
"保利","8305位",250
"平敷","8305位",250
"徳平","8305位",250
"島森","8305位",250
"栂野","8305位",250
"津志田","8305位",250
"仲内","8305位",250
"大豆生田","8305位",250
"村手","8305位",250
"倉増","8305位",250
"畝本","8305位",250
"小櫃","8305位",250
"小亀","8305位",250
"江塚","8305位",250
"後川","8305位",250
"月川","8305位",250
"駒林","8305位",250
"錦見","8305位",250
"宮阪","8305位",250
"吉泉","8305位",250
"岩熊","8305位",250
"灰谷","8305位",250
"押方","8305位",250
"柳元","8328位",249
"野呂田","8328位",249
"目野","8328位",249
"末","8328位",249
"穂満","8328位",249
"片見","8328位",249
"平吹","8328位",249
"浜岸","8328位",249
"百合野","8328位",249
"白数","8328位",249
"毒島","8328位",249
"土沢","8328位",249
"則松","8328位",249
"蘇武","8328位",249
"森武","8328位",249
"城倉","8328位",249
"上見","8328位",249
"手柴","8328位",249
"鹿目","8328位",249
"皿井","8328位",249
"古渡","8328位",249
"兼清","8328位",249
"宜野座","8328位",249
"梶塚","8328位",249
"角地","8328位",249
"我満","8328位",249
"羽川","8328位",249
"和野","8355位",248
"養父","8355位",248
"米塚","8355位",248
"武隈","8355位",248
"畔蒜","8355位",248
"藤長","8355位",248
"津布久","8355位",248
"中南","8355位",248
"足羽","8355位",248
"草加","8355位",248
"石割","8355位",248
"正路","8355位",248
"水藤","8355位",248
"須々木","8355位",248
"深石","8355位",248
"常石","8355位",248
"松堂","8355位",248
"妻鹿","8355位",248
"佐々岡","8355位",248
"二葉","8355位",248
"高椋","8355位",248
"後野","8355位",248
"嬉野","8355位",248
"遊馬","8378位",247
"末川","8378位",247
"茶円","8378位",247
"谷浦","8378位",247
"荘","8378位",247
"宋","8378位",247
"曾山","8378位",247
"浅津","8378位",247
"千代谷","8378位",247
"青崎","8378位",247
"瀬井","8378位",247
"森兼","8378位",247
"森浦","8378位",247
"松金","8378位",247
"小舘","8378位",247
"市倉","8378位",247
"佐崎","8378位",247
"行川","8378位",247
"戸出","8378位",247
"兼森","8378位",247
"桑波田","8378位",247
"窪山","8378位",247
"鎌滝","8378位",247
"垣谷","8378位",247
"安高","8378位",247
"鯵坂","8378位",247
"籠谷","8404位",246
"柳迫","8404位",246
"矢坂","8404位",246
"目代","8404位",246
"明比","8404位",246
"墨","8404位",246
"百","8404位",246
"白澤","8404位",246
"徳森","8404位",246
"藤ケ崎","8404位",246
"桃木","8404位",246
"田波","8404位",246
"長塩","8404位",246
"中重","8404位",246
"西正","8404位",246
"清井","8404位",246
"松末","8404位",246
"重冨","8404位",246
"若田部","8404位",246
"佐本","8404位",246
"国藤","8404位",246
"江南","8404位",246
"桑垣","8404位",246
"久保島","8404位",246
"吉嶺","8404位",246
"亀卦川","8404位",246
"笠本","8404位",246
"園川","8404位",246
"一橋","8404位",246
"淀","8433位",245
"芳山","8433位",245
"島山","8433位",245
"朝賀","8433位",245
"大谷内","8433位",245
"速見","8433位",245
"石榑","8433位",245
"西俣","8433位",245
"真名子","8433位",245
"小桧山","8433位",245
"小久江","8433位",245
"漆戸","8433位",245
"財田","8433位",245
"高居","8433位",245
"光石","8433位",245
"嘉手納","8433位",245
"立和名","8449位",244
"本道","8449位",244
"北詰","8449位",244
"白垣","8449位",244
"鶴沢","8449位",244
"鎮目","8449位",244
"大瀬戸","8449位",244
"太田原","8449位",244
"多久","8449位",244
"星本","8449位",244
"真瀬","8449位",244
"新浜","8449位",244
"宗川","8449位",244
"市","8449位",244
"四ノ宮","8449位",244
"三方","8449位",244
"佐久","8449位",244
"岩辺","8449位",244
"角尾","8449位",244
"家崎","8449位",244
"力久","8469位",243
"有園","8469位",243
"末野","8469位",243
"畑尾","8469位",243
"唐澤","8469位",243
"冬木","8469位",243
"田垣","8469位",243
"定本","8469位",243
"潮見","8469位",243
"竹垣","8469位",243
"池ノ谷","8469位",243
"只木","8469位",243
"倉茂","8469位",243
"青海","8469位",243
"菅又","8469位",243
"翠","8469位",243
"上木原","8469位",243
"勝瀬","8469位",243
"今石","8469位",243
"腰山","8469位",243
"高中","8469位",243
"江","8469位",243
"境谷","8469位",243
"宮司","8469位",243
"吉坂","8469位",243
"岩名","8469位",243
"河畑","8469位",243
"横張","8469位",243
"越塚","8469位",243
"阿波根","8469位",243
"澤本","8499位",242
"利川","8499位",242
"有住","8499位",242
"浜坂","8499位",242
"馬橋","8499位",242
"日比谷","8499位",242
"日影","8499位",242
"楠目","8499位",242
"頓宮","8499位",242
"鉄","8499位",242
"濁川","8499位",242
"待井","8499位",242
"川竹","8499位",242
"瀬之口","8499位",242
"上仲","8499位",242
"松広","8499位",242
"三條","8499位",242
"細萱","8499位",242
"国司","8499位",242
"高光","8499位",242
"宮倉","8499位",242
"喜島","8499位",242
"河渕","8499位",242
"友安","8522位",241
"末益","8522位",241
"並里","8522位",241
"浜部","8522位",241
"尾又","8522位",241
"楢本","8522位",241
"内薗","8522位",241
"藤宮","8522位",241
"渡海","8522位",241
"津賀","8522位",241
"中目","8522位",241
"中熊","8522位",241
"城村","8522位",241
"秋村","8522位",241
"篠川","8522位",241
"山仲","8522位",241
"弦間","8522位",241
"強矢","8522位",241
"吉戸","8522位",241
"関内","8522位",241
"柿下","8522位",241
"塩畑","8522位",241
"阿賀","8522位",241
"里井","8545位",240
"矢田貝","8545位",240
"又木","8545位",240
"武宮","8545位",240
"八反田","8545位",240
"釘崎","8545位",240
"定松","8545位",240
"中坊","8545位",240
"中場","8545位",240
"沢内","8545位",240
"大信田","8545位",240
"仙道","8545位",240
"是川","8545位",240
"勝矢","8545位",240
"舟川","8545位",240
"幸崎","8545位",240
"浦松","8545位",240
"廣岡","8562位",239
"倭","8562位",239
"里川","8562位",239
"本家","8562位",239
"伏田","8562位",239
"長光","8562位",239
"谷渕","8562位",239
"瀧田","8562位",239
"大代","8562位",239
"川住","8562位",239
"赤土","8562位",239
"室町","8562位",239
"指方","8562位",239
"三辻","8562位",239
"三ツ石","8562位",239
"根石","8562位",239
"高荷","8562位",239
"金石","8562位",239
"嘉屋","8562位",239
"井林","8562位",239
"鈴井","8582位",238
"立浪","8582位",238
"野波","8582位",238
"末弘","8582位",238
"北住","8582位",238
"美和","8582位",238
"入内島","8582位",238
"槻木","8582位",238
"長谷田","8582位",238
"茶屋","8582位",238
"多鹿","8582位",238
"織本","8582位",238
"小圷","8582位",238
"小塙","8582位",238
"小谷田","8582位",238
"左海","8582位",238
"今倉","8582位",238
"高上","8582位",238
"金松","8582位",238
"久志","8582位",238
"鞠子","8582位",238
"我謝","8582位",238
"下茂","8582位",238
"岡正","8582位",238
"押久保","8582位",238
"一寸木","8582位",238
"依岡","8582位",238
"西馬","8609位",237
"雪本","8609位",237
"倉成","8609位",237
"多治見","8609位",237
"大牧","8609位",237
"辻下","8609位",237
"田籠","8609位",237
"日坂","8609位",237
"埜口","8609位",237
"飛内","8609位",237
"富重","8609位",237
"普久原","8609位",237
"福塚","8609位",237
"流","8609位",237
"眞田","8609位",237
"生地","8609位",237
"菅尾","8609位",237
"森河","8609位",237
"上家","8609位",237
"小茂田","8609位",237
"室野","8609位",237
"山野内","8609位",237
"見原","8609位",237
"宮道","8609位",237
"久森","8609位",237
"喜舎場","8609位",237
"岩竹","8609位",237
"鴨","8609位",237
"横町","8609位",237
"遠峰","8609位",237
"円子","8609位",237
"和佐","8640位",236
"友村","8640位",236
"柳村","8640位",236
"網倉","8640位",236
"北薗","8640位",236
"福園","8640位",236
"馬木","8640位",236
"日根","8640位",236
"東一","8640位",236
"渡名喜","8640位",236
"椿井","8640位",236
"倉松","8640位",236
"瀬野尾","8640位",236
"森次","8640位",236
"新内","8640位",236
"山橋","8640位",236
"坂江","8640位",236
"佐渡山","8640位",236
"喜多見","8640位",236
"加々見","8640位",236
"安蔵","8640位",236
"萬谷","8661位",235
"門永","8661位",235
"木多","8661位",235
"末延","8661位",235
"染田","8661位",235
"石引","8661位",235
"瀬端","8661位",235
"杉藤","8661位",235
"厨子","8661位",235
"出合","8661位",235
"若崎","8661位",235
"室木","8661位",235
"山王","8661位",235
"佐近","8661位",235
"黒飛","8661位",235
"君嶋","8661位",235
"駒津","8661位",235
"居川","8661位",235
"丸屋","8661位",235
"榎谷","8661位",235
"羽富","8661位",235
"宇津宮","8661位",235
"稲継","8661位",235
"一川","8661位",235
"辺土名","8685位",234
"畔田","8685位",234
"縄手","8685位",234
"渡貫","8685位",234
"棚村","8685位",234
"曾根田","8685位",234
"川中子","8685位",234
"成木","8685位",234
"信濃","8685位",234
"松清","8685位",234
"小上","8685位",234
"三戸部","8685位",234
"笹渕","8685位",234
"最首","8685位",234
"高添","8685位",234
"高貝","8685位",234
"海","8685位",234
"磯井","8685位",234
"庵","8685位",234
"安海","8685位",234
"阿由葉","8685位",234
"茂泉","8706位",233
"牧尾","8706位",233
"平家","8706位",233
"道林","8706位",233
"浅野目","8706位",233
"親松","8706位",233
"上池","8706位",233
"松雪","8706位",233
"舟見","8706位",233
"采女","8706位",233
"砂本","8706位",233
"後呂","8706位",233
"兼次","8706位",233
"角口","8706位",233
"磯前","8706位",233
"崔","8721位",232
"余川","8721位",232
"尾口","8721位",232
"峠田","8721位",232
"町谷","8721位",232
"仲丸","8721位",232
"地下","8721位",232
"村地","8721位",232
"倉見","8721位",232
"千綿","8721位",232
"森忠","8721位",232
"常住","8721位",232
"重広","8721位",232
"受川","8721位",232
"酒徳","8721位",232
"三ツ谷","8721位",232
"三ケ田","8721位",232
"砂辺","8721位",232
"高堂","8721位",232
"溝尻","8721位",232
"角森","8721位",232
"印牧","8721位",232
"安友","8721位",232
"敷田","8744位",231
"祢津","8744位",231
"定","8744位",231
"仲真","8744位",231
"中池","8744位",231
"丹生谷","8744位",231
"帯","8744位",231
"掃部","8744位",231
"千々松","8744位",231
"西室","8744位",231
"星沢","8744位",231
"森繁","8744位",231
"城之内","8744位",231
"庄島","8744位",231
"紙本","8744位",231
"崎川","8744位",231
"細岡","8744位",231
"砂場","8744位",231
"向畑","8744位",231
"戸祭","8744位",231
"興野","8744位",231
"牛場","8744位",231
"巻口","8744位",231
"越石","8744位",231
"井手尾","8744位",231
"井奥","8744位",231
"伊久美","8744位",231
"松若","8771位",230
"上柿","8771位",230
"増崎","8771位",230
"滝元","8771位",230
"沢渡","8771位",230
"炭田","8771位",230
"猪","8771位",230
"塚","8771位",230
"砥上","8771位",230
"砥綿","8771位",230
"内記","8771位",230
"納田","8771位",230
"敷地","8771位",230
"武尾","8771位",230
"北坂","8771位",230
"与","8771位",230
"鰐部","8771位",230
"宗政","8771位",230
"伊計","8771位",230
"育藤","8771位",230
"花立","8771位",230
"萱森","8771位",230
"丸石","8771位",230
"岩井田","8771位",230
"鬼原","8771位",230
"久堀","8771位",230
"曲山","8771位",230
"栗屋","8771位",230
"桑鶴","8771位",230
"兼久","8771位",230
"五戸","8771位",230
"工","8771位",230
"今原","8771位",230
"氏川","8771位",230
"種谷","8771位",230
"藪中","8806位",229
"落","8806位",229
"鳴滝","8806位",229
"米坂","8806位",229
"平館","8806位",229
"文字","8806位",229
"比田井","8806位",229
"箱山","8806位",229
"東平","8806位",229
"猪越","8806位",229
"船間","8806位",229
"川筋","8806位",229
"西埜","8806位",229
"腰原","8806位",229
"光宗","8806位",229
"戸館","8806位",229
"月館","8806位",229
"杵屋","8806位",229
"家中","8806位",229
"岡辺","8806位",229
"横枕","8806位",229
"横見","8806位",229
"押木","8806位",229
"柳堀","8829位",228
"満岡","8829位",228
"牧岡","8829位",228
"保倉","8829位",228
"平佐","8829位",228
"飛山","8829位",228
"入井","8829位",228
"追川","8829位",228
"茶畑","8829位",228
"池澤","8829位",228
"丹原","8829位",228
"大仁田","8829位",228
"相野","8829位",228
"祖田","8829位",228
"前澤","8829位",228
"川代","8829位",228
"松熊","8829位",228
"小八重","8829位",228
"諸永","8829位",228
"山成","8829位",228
"窪井","8829位",228
"牛腸","8829位",228
"関場","8829位",228
"釜石","8829位",228
"嘉悦","8829位",228
"横原","8829位",228
"安成","8829位",228
"礒辺","8856位",227
"澤山","8856位",227
"揚野","8856位",227
"木根","8856位",227
"片本","8856位",227
"布山","8856位",227
"富士原","8856位",227
"白濱","8856位",227
"津下","8856位",227
"中井川","8856位",227
"池脇","8856位",227
"大良","8856位",227
"大宮司","8856位",227
"清和","8856位",227
"新徳","8856位",227
"初芝","8856位",227
"桜間","8856位",227
"佐保田","8856位",227
"原科","8856位",227
"舘田","8856位",227
"伊深","8876位",226
"井脇","8876位",226
"歌田","8876位",226
"甘粕","8876位",226
"金古","8876位",226
"五十棲","8876位",226
"広地","8876位",226
"溝脇","8876位",226
"小嶌","8876位",226
